State_Abbr,State,Medicaid_Expanded,Total_Financial_Assistance_Apps_Submitted,Medicaid_Indiv_Elig_Applied,CHIP_Indiv_Elig_Applied,Total Medicaid and CHIP Determinations,Total_Enrollment,Latitude,Longitude,Tot_Medicaid_Enroll,Tot_CHIP_Enroll,Month,Year
TX,Texas,N,118994.0,81430.0,14508.0,95938.0,4283333,33.8191,-80.9066,3693097,590236,Feb,2019
NJ,New Jersey,Y,35770.0,14555.0,8877.0,23432.0,1727697,41.1289,-98.2883,1514473,213224,Feb,2019
ID,Idaho,N,7428.0,5736.0,563.0,6299.0,269916,42.0046,-93.214,243379,26537,Feb,2019
NC,North Carolina,N,21212.0,32061.0,3649.0,35710.0,1748628,32.7673,-89.6812,1484985,263643,Mar,2019
ND,North Dakota,Y,2721.0,1875.0,36.0,1911.0,91995,46.9048,-110.3261,89842,2153,Mar,2019
MA,Massachusetts,Y,20610.0,0.0,0.0,0.0,1567177,31.1801,-91.8749,1381476,185701,Mar,2019
OK,Oklahoma,N,42114.0,38379.0,7912.0,46291.0,724011,42.1497,-74.9384,603925,120086,Mar,2019
IL,Illinois,Y,66749.0,26602.0,9161.0,35763.0,2800206,44.2394,-114.5103,2542959,257247,Mar,2019
AR,Arkansas,Y,20328.0,9410.0,444.0,9854.0,851648,34.9513,-92.3809,761756,89892,Mar,2019
VT,Vermont,Y,4372.0,5671.0,169.0,5840.0,156965,31.105999999999998,-97.6475,152289,4676,Mar,2019
IN,Indiana,Y,96587.0,37569.0,3227.0,40796.0,1466847,40.3363,-89.0022,1353101,113746,Mar,2019
NV,Nevada,Y,19560.0,12602.0,88.0,12690.0,632884,40.314,-74.5089,590585,42299,Mar,2019
NE,Nebraska,N,5919.0,5397.0,871.0,6268.0,247508,35.6411,-79.8431,212330,35178,Mar,2019
DC,District of Columbia,Y,3833.0,4001.0,0.0,4001.0,259280,41.5834,-72.7622,242638,16642,Mar,2019
MS,Mississippi,N,19291.0,12827.0,644.0,13471.0,621824,38.4623,-92.302,545168,76656,Mar,2019
ID,Idaho,N,7693.0,6319.0,589.0,6908.0,271203,42.0046,-93.214,244691,26512,Mar,2019
FL,Florida,N,251925.0,172800.0,22702.0,195502.0,3655668,39.3498,-75.5148,3423439,232229,Mar,2019
IA,Iowa,Y,15151.0,1247.0,0.0,1247.0,693244,21.1098,-157.5311,619879,73365,Mar,2019
UT,Utah,N,22417.0,54319.0,0.0,54319.0,287706,44.2853,-99.4632,245886,41820,Mar,2019
OH,Ohio,Y,70905.0,59595.0,3082.0,62677.0,2651279,38.4199,-117.1219,2446724,204555,Mar,2019
MD,Maryland,Y,94171.0,30083.0,3209.0,33292.0,1318895,42.2373,-71.5314,1163490,155405,Mar,2019
WV,West Virginia,Y,22002.0,12069.0,699.0,12768.0,517439,18.0001,-64.8199,483351,34088,Mar,2019
AZ,Arizona,Y,102019.0,0.0,0.0,0.0,1703074,14.2417,-170.7197,1598692,104382,Mar,2019
SC,South Carolina,N,24125.0,5651.0,313.0,5964.0,1053679,40.5773,-77.264,962728,90951,Mar,2019
MN,Minnesota,Y,28630.0,22062.0,49.0,22111.0,1050156,43.3504,-84.5603,1048892,1264,Mar,2019
KS,Kansas,N,0.0,0.0,0.0,0.0,381525,39.8647,-86.2604,325130,56395,Mar,2019
GA,Georgia,N,42435.0,27076.0,919.0,27995.0,1832021,27.8333,-81.717,1617553,214468,Mar,2019
AK,Alaska,Y,3588.0,3363.0,271.0,3634.0,217793,61.385,-152.2683,202397,15396,Mar,2019
WI,Wisconsin,N,23804.0,17498.0,1055.0,18553.0,1028591,37.768,-78.2057,961553,67038,Mar,2019
MI,Michigan,Y,53684.0,47343.0,1750.0,49093.0,2347936,44.6074,-69.3977,2285967,61969,Mar,2019
NJ,New Jersey,Y,41430.0,18351.0,7733.0,26084.0,1729014,41.1289,-98.2883,1513945,215069,Mar,2019
CO,Colorado,Y,22808.0,19553.0,421.0,19974.0,1290183,36.17,-119.7462,1208335,81848,Mar,2019
WY,Wyoming,N,1431.0,795.0,35.0,830.0,57835,44.0407,-72.7093,53162,4673,Mar,2019
TN,Tennessee,N,10886.0,0.0,0.0,0.0,1440079,41.6772,-71.5101,1386672,53407,Mar,2019
ME,Maine,Y,8118.0,10924.0,511.0,11435.0,261896,39.0724,-76.7902,251224,10672,Mar,2019
RI,Rhode Island,Y,1975.0,3112.0,427.0,3539.0,304979,44.5672,-122.1269,271732,33247,Mar,2019
MO,Missouri,N,20913.0,10159.0,559.0,10718.0,875069,45.7326,-93.9196,842409,32660,Mar,2019
SD,South Dakota,N,2397.0,1321.0,0.0,1321.0,110982,18.2766,-66.335,95058,15924,Mar,2019
LA,Louisiana,Y,31342.0,43468.0,5369.0,48837.0,1597640,37.669000000000004,-84.6514,1458128,139512,Mar,2019
WA,Washington,Y,140506.0,99497.0,1686.0,101183.0,1719703,40.1135,-111.8535,1648049,71654,Mar,2019
MT,Montana,Y,3610.0,4048.0,368.0,4416.0,278685,14.8058,145.5505,249170,29515,Mar,2019
NH,New Hampshire,Y,8104.0,4719.0,469.0,5188.0,181447,47.5362,-99.79299999999999,166526,14921,Mar,2019
DE,Delaware,Y,2847.0,4763.0,754.0,5517.0,248869,38.8964,-77.0262,237412,11457,Mar,2019
VA,Virginia,Y,31564.0,28056.0,775.0,28831.0,1291923,35.7449,-86.7489,1147269,144654,Mar,2019
AL,Alabama,N,18688.0,15347.0,1967.0,17314.0,918238,32.799,-86.8073,744859,173379,Mar,2019
CA,California,Y,154829.0,153728.0,13946.0,167674.0,11874143,33.7712,-111.3877,10560707,1313436,Mar,2019
OR,Oregon,Y,13251.0,24999.0,3123.0,28122.0,988001,40.3736,-82.7755,859392,128609,Mar,2019
PA,Pennsylvania,Y,95678.0,87958.0,9846.0,97804.0,2963045,35.5376,-96.9247,2781660,181385,Mar,2019
NM,New Mexico,Y,12054.0,17822.0,9380.0,27202.0,728860,43.4108,-71.5653,691007,37853,Mar,2019
NY,New York,Y,897673.0,105554.0,7100.0,112654.0,6542092,34.8375,-106.2371,5885385,656707,Mar,2019
TX,Texas,N,129669.0,87561.0,15574.0,103135.0,4278690,33.8191,-80.9066,3674836,603854,Mar,2019
HI,Hawaii,Y,4995.0,5089.0,350.0,5439.0,329688,32.9866,-83.6487,304337,25351,Mar,2019
CT,Connecticut,Y,16874.0,14364.0,339.0,14703.0,867305,39.0646,-105.3272,847517,19788,Mar,2019
KY,Kentucky,Y,9497.0,35642.0,1856.0,37498.0,1215240,38.5111,-96.8005,1125996,89244,Mar,2019
ME,Maine,Y,7784.0,10662.0,616.0,11278.0,260230,39.0724,-76.7902,249461,10769,Apr,2019
NM,New Mexico,Y,12481.0,20298.0,1566.0,21864.0,731467,43.4108,-71.5653,694529,36938,Apr,2019
TN,Tennessee,N,12821.0,0.0,0.0,0.0,1453895,41.6772,-71.5101,1398565,55330,Apr,2019
MT,Montana,Y,3840.0,3831.0,352.0,4183.0,277567,14.8058,145.5505,247950,29617,Apr,2019
MS,Mississippi,N,18887.0,12062.0,637.0,12699.0,621816,38.4623,-92.302,545160,76656,Apr,2019
WI,Wisconsin,N,24487.0,18693.0,1118.0,19811.0,1038232,37.768,-78.2057,969497,68735,Apr,2019
DE,Delaware,Y,2756.0,5075.0,746.0,5821.0,248203,38.8964,-77.0262,236965,11238,Apr,2019
MI,Michigan,Y,56872.0,52569.0,1838.0,54407.0,2334794,44.6074,-69.3977,2272953,61841,Apr,2019
CO,Colorado,Y,24716.0,20962.0,380.0,21342.0,1278581,36.17,-119.7462,1195073,83508,Apr,2019
MO,Missouri,N,21607.0,11436.0,471.0,11907.0,863688,45.7326,-93.9196,831369,32319,Apr,2019
OH,Ohio,Y,75676.0,63089.0,3481.0,66570.0,2654102,38.4199,-117.1219,2451306,202796,Apr,2019
SC,South Carolina,N,23789.0,6657.0,195.0,6852.0,1054717,40.5773,-77.264,963525,91192,Apr,2019
AK,Alaska,Y,3368.0,3053.0,202.0,3255.0,218972,61.385,-152.2683,203524,15448,Apr,2019
NJ,New Jersey,Y,33679.0,20399.0,7848.0,28247.0,1727206,41.1289,-98.2883,1508835,218371,Apr,2019
AL,Alabama,N,15057.0,14461.0,1768.0,16229.0,915575,32.799,-86.8073,742955,172620,Apr,2019
LA,Louisiana,Y,28245.0,18748.0,1953.0,20701.0,1547087,37.669000000000004,-84.6514,1405697,141390,Apr,2019
CT,Connecticut,Y,16974.0,14993.0,353.0,15346.0,863051,39.0646,-105.3272,843376,19675,Apr,2019
VA,Virginia,Y,30553.0,25148.0,805.0,25953.0,1305392,35.7449,-86.7489,1160943,144449,Apr,2019
IN,Indiana,Y,94483.0,41133.0,3676.0,44809.0,1467864,40.3363,-89.0022,1355107,112757,Apr,2019
KY,Kentucky,Y,9362.0,36000.0,1845.0,37845.0,1208019,38.5111,-96.8005,1120378,87641,Apr,2019
PA,Pennsylvania,Y,95185.0,91606.0,10861.0,102467.0,2974264,35.5376,-96.9247,2791293,182971,Apr,2019
WY,Wyoming,N,1538.0,832.0,37.0,869.0,58027,44.0407,-72.7093,53354,4673,Apr,2019
TX,Texas,N,141848.0,90136.0,14342.0,104478.0,4231596,33.8191,-80.9066,3645976,585620,Apr,2019
IL,Illinois,Y,66353.0,31374.0,10307.0,41681.0,2815518,44.2394,-114.5103,2555029,260489,Apr,2019
HI,Hawaii,Y,5043.0,5431.0,351.0,5782.0,329868,32.9866,-83.6487,304277,25591,Apr,2019
NV,Nevada,Y,21539.0,13147.0,59.0,13206.0,632525,40.314,-74.5089,591916,40609,Apr,2019
CA,California,Y,162234.0,156263.0,13817.0,170080.0,11824373,33.7712,-111.3877,10509928,1314445,Apr,2019
RI,Rhode Island,Y,2108.0,3303.0,487.0,3790.0,303377,44.5672,-122.1269,272618,30759,Apr,2019
OR,Oregon,Y,13425.0,24977.0,2942.0,27919.0,987718,40.3736,-82.7755,858912,128806,Apr,2019
MA,Massachusetts,Y,19606.0,0.0,0.0,0.0,1574046,31.1801,-91.8749,1387339,186707,Apr,2019
FL,Florida,N,278239.0,169823.0,20510.0,190333.0,3662149,39.3498,-75.5148,3426817,235332,Apr,2019
VT,Vermont,Y,4858.0,5392.0,202.0,5594.0,156170,31.105999999999998,-97.6475,151531,4639,Apr,2019
DC,District of Columbia,Y,3942.0,3973.0,0.0,3973.0,259376,41.5834,-72.7622,242560,16816,Apr,2019
