State,Medicaid_Expanded,Total_Enrollment,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Injury_Deaths_Rank,Injury_Deaths_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Year,Uninsured_Rank,Uninsured_Value
Alabama,N,899570.0,47.0,-0.4270000000000001,43.0,210.6,49.0,339.6,14.0,79.9,24.0,78.7,49.0,14.6,11.0,25.1,22.0,14.3,48.0,40.4,50.0,42.0,7.0,77.3,49.0,8.5,35.0,76.2,47.0,35.7,48.0,10321.0,42.0,119.3,38.0,10.4,46.0,6.0,2017,33.0,9.6
Virginia,Y,1028297.0,19.0,0.241,24.0,190.1,25.0,239.1,11.0,81.1,28.0,77.9,23.0,10.4,42.0,33.7,7.0,11.3,34.0,33.2,16.0,35.6,45.0,65.9,23.0,5.8,9.0,57.6,21.0,29.0,19.0,6696.0,24.0,141.8,23.0,9.1,15.0,4.1,2017,28.0,8.9
Indiana,Y,1478130.0,37.0,-0.207,42.0,210.5,37.0,277.5,43.0,73.5,18.0,81.7,37.0,11.5,22.0,28.1,34.0,17.9,29.0,32.4,44.0,39.1,34.0,68.8,42.0,7.2,24.0,69.6,40.0,32.5,38.0,8471.0,39.0,123.4,18.0,8.3,22.0,4.5,2017,28.0,8.9
Wyoming,N,61072.0,29.0,-0.017,7.0,170.3,21.0,233.1,36.0,74.9,48.0,68.9,6.0,8.3,28.0,29.8,30.0,17.6,15.0,29.9,11.0,35.0,49.0,62.8,20.0,5.7,47.0,91.7,16.0,27.7,34.0,8130.0,48.0,105.7,32.0,10.1,37.0,5.4,2017,43.0,11.5
Ohio,Y,2845785.0,40.0,-0.266,40.0,208.7,39.0,283.6,23.0,77.9,15.0,82.7,31.0,11.1,18.0,26.8,46.0,24.5,38.0,34.3,28.0,36.7,38.0,68.0,40.0,7.0,30.0,72.1,32.0,31.5,39.0,8492.0,13.0,167.3,28.0,9.7,26.0,4.9,2017,14.0,6.1
Pennsylvania,Y,2986599.0,24.0,0.06,35.0,199.6,35.0,263.3,19.0,79.1,6.0,85.8,35.0,11.3,7.0,22.2,43.0,22.2,31.0,32.5,23.0,36.2,20.0,73.7,26.0,6.0,26.0,70.0,26.0,30.3,28.0,7541.0,5.0,199.8,40.0,10.6,42.0,5.6,2017,13.0,6.0
Arkansas,Y,913196.0,48.0,-0.449,47.0,219.5,47.0,323.0,29.0,76.8,21.0,80.3,47.0,13.5,14.0,25.5,14.0,12.3,46.0,39.3,49.0,41.3,39.0,67.8,44.0,7.5,39.0,77.8,47.0,35.7,45.0,9972.0,43.0,115.4,8.0,7.5,10.0,3.9,2017,27.0,8.7
Texas,N,4474461.0,38.0,-0.214,11.0,180.9,34.0,261.1,45.0,72.6,48.0,68.9,33.0,11.2,36.0,31.6,5.0,9.7,11.0,29.5,20.0,36.1,33.0,69.5,23.0,5.8,10.0,58.3,43.0,33.6,23.0,7175.0,45.0,112.9,21.0,8.6,23.0,4.6,2017,50.0,16.9
Illinois,Y,3062268.0,27.0,0.006999999999999999,36.0,199.8,33.0,257.8,22.0,78.2,17.0,82.1,23.0,10.4,34.0,31.3,16.0,13.2,23.0,30.8,19.0,36.0,25.0,71.5,30.0,6.3,6.0,54.4,33.0,31.6,20.0,6825.0,10.0,175.3,45.0,11.0,44.0,5.9,2017,20.0,6.8
Massachusetts,Y,1683846.0,1.0,0.778,18.0,183.6,3.0,208.3,1.0,83.7,1.0,88.9,14.0,9.3,35.0,31.5,38.0,19.8,12.0,29.6,10.0,34.5,1.0,85.3,2.0,4.4,5.0,50.8,2.0,23.6,6.0,5970.0,2.0,237.1,15.0,8.1,9.0,3.7,2017,1.0,2.7
Oregon,Y,976182.0,17.0,0.246,25.0,190.6,8.0,217.6,30.0,76.6,25.0,78.6,18.0,9.5,32.0,31.0,14.0,12.3,19.0,30.1,30.0,36.8,50.0,58.1,12.0,5.1,22.0,68.2,20.0,28.7,14.0,6507.0,22.0,143.8,34.0,10.3,26.0,4.9,2017,18.0,6.6
